Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,64.919998,65.849998,64.849998,65.589996,62.109386,14991600
2020-02-06,67.000000,67.800003,66.389999,67.099998,63.539249,16488500
2020-02-07,66.680000,67.010002,65.839996,66.250000,62.734364,13093400
2020-02-10,65.879997,67.120003,65.800003,66.910004,63.359341,13218500
2020-02-11,67.349998,67.550003,66.970001,66.989998,63.435085,7261400
2020-02-12,67.089996,67.500000,66.570000,67.000000,63.444557,11213700
2020-02-13,66.720001,66.949997,66.040001,66.080002,62.573380,9149500
2020-02-14,66.250000,66.830002,65.980003,66.379997,62.857460,7530700
2020-02-18,66.510002,66.970001,65.440002,66.070000,62.563911,13831900
2020-02-19,66.000000,66.050003,65.360001,65.709999,62.223022,9905400
2020-02-20,65.629997,65.980003,64.889999,65.169998,61.711666,11360500
2020-02-21,64.870003,65.870003,64.800003,65.629997,62.147255,10134800
2020-02-24,64.080002,65.059998,63.689999,63.970001,60.575356,12105000
2020-02-25,63.889999,63.910000,61.599998,62.139999,58.842464,15706000
2020-02-26,61.750000,63.389999,61.610001,62.040001,58.747772,11264600
2020-02-27,61.000000,61.580002,59.560001,59.580002,56.418312,20624800
2020-02-28,57.759998,59.209999,56.369999,59.060001,55.925907,28292500
2020-03-02,59.570000,60.779999,58.680000,60.340000,57.137981,19500300
2020-03-03,60.860001,61.849998,58.340000,59.200001,56.058479,18250100
2020-03-04,60.200001,61.680000,59.689999,61.480000,58.217487,18228300
2020-03-05,60.700001,61.240002,59.840000,60.500000,57.289494,15119400
2020-03-06,58.880001,60.419998,58.759998,60.310001,57.109573,14833900
2020-03-09,56.009998,59.139999,56.000000,57.660000,54.600201,22385900
2020-03-10,58.820000,58.950001,55.910000,57.930000,54.855873,24831000
2020-03-11,56.779999,57.959999,55.810001,56.509998,53.511219,19768800
2020-03-12,52.330002,54.900002,50.619999,52.750000,49.950756,22963000
2020-03-13,54.889999,55.500000,51.779999,54.990002,52.071888,23503600
2020-03-16,50.130001,53.759998,48.009998,51.110001,48.397785,20582800
2020-03-17,51.830002,54.099998,51.200001,54.090000,51.219646,17519600
2020-03-18,51.630001,52.389999,48.020000,50.240002,47.573956,27384200
2020-03-19,50.110001,50.720001,48.130001,48.790001,46.200893,20058300
2020-03-20,49.049999,50.639999,47.250000,48.400002,45.831596,20370800
2020-03-23,47.189999,48.400002,45.759998,46.400002,43.937729,21237000
2020-03-24,48.180000,49.500000,47.389999,49.240002,46.627018,16484800
2020-03-25,49.029999,51.950001,48.169998,49.349998,46.731178,20921300
2020-03-26,50.459999,53.320000,50.310001,52.250000,49.477291,21600200
2020-03-27,51.110001,53.779999,50.869999,52.790001,49.988636,14498400
2020-03-30,53.200001,55.080002,53.200001,54.389999,51.503727,18013500
2020-03-31,54.299999,56.240002,54.240002,55.740002,52.782085,28455600
2020-04-01,53.619999,55.700001,53.520000,54.820000,51.910908,13441300
2020-04-02,54.840000,55.320000,53.580002,55.209999,52.712914,12929400
2020-04-03,54.990002,56.470001,54.900002,55.529999,53.018444,14654200
2020-04-06,57.070000,58.070000,56.580002,57.869999,55.252609,22589700
2020-04-07,58.529999,58.590000,56.680000,56.900002,54.326481,19224400
2020-04-08,57.049999,59.130001,56.360001,58.250000,55.615417,15268700
2020-04-09,58.799999,59.580002,58.369999,58.910000,56.245567,13256000
2020-04-13,58.500000,59.400002,58.060001,58.919998,56.255116,13921600
2020-04-14,59.830002,60.730000,59.630001,60.040001,57.324467,14259000
2020-04-15,59.299999,59.889999,58.900002,59.459999,56.770691,14402100
2020-04-16,59.799999,60.349998,59.500000,59.560001,56.866169,12984900
2020-04-17,60.380001,60.770000,59.880001,60.599998,57.859127,16697800
2020-04-20,60.750000,62.840000,60.599998,61.680000,58.890285,17446000
2020-04-21,60.860001,61.320000,60.259998,60.590000,57.849586,22203000
2020-04-22,61.259998,61.910000,60.880001,60.930000,58.174210,12081000
2020-04-23,61.320000,61.990002,60.840000,60.950001,58.193302,11897400
2020-04-24,61.669998,62.549999,61.259998,62.250000,59.434505,10460800
2020-04-27,62.639999,63.020000,62.410000,62.560001,59.730484,13994600
2020-04-28,62.930000,63.180000,61.770000,62.139999,59.329483,10858900
2020-04-29,62.369999,62.619999,61.529999,61.630001,58.842548,11035100
2020-04-30,60.849998,61.110001,60.360001,60.810001,58.059635,17554500
2020-05-01,60.849998,60.869999,59.680000,60.259998,57.534508,15582800
2020-05-04,60.740002,60.919998,59.730000,60.169998,57.448582,16989600
2020-05-05,60.599998,61.799999,60.430000,61.360001,58.584755,13340800
2020-05-06,61.650002,62.230000,60.939999,61.130001,58.365162,14589000
2020-05-07,62.520000,62.599998,60.619999,61.040001,58.279236,17531500
2020-05-08,61.830002,62.180000,60.950001,61.049999,58.288773,16960100
2020-05-11,60.869999,62.810001,60.770000,62.660000,59.825962,14146800
2020-05-12,63.169998,64.269997,62.880001,63.349998,60.484753,18928100
2020-05-13,63.169998,63.930000,62.580002,63.270000,60.408371,17287900
2020-05-14,62.500000,64.129997,62.130001,63.770000,60.885757,18221700
2020-05-15,64.199997,65.339996,63.810001,64.089996,61.191280,35224400
2020-05-18,64.919998,65.209999,63.480000,63.599998,60.723442,15170500
2020-05-19,63.430000,63.820000,62.490002,62.709999,59.873699,11052100
2020-05-20,63.000000,63.250000,60.830002,61.680000,58.890285,16658200
2020-05-21,61.619999,61.869999,60.439999,61.139999,58.374710,16016000
2020-05-22,61.009998,61.660000,60.590000,60.790001,58.040543,9228600
2020-05-26,61.509998,61.509998,60.180000,60.320000,57.591793,18447800
2020-05-27,60.000000,60.520000,59.110001,60.400002,57.668182,19071700
2020-05-28,60.959999,60.980000,59.680000,59.810001,57.104862,14977400
2020-05-29,60.299999,60.470001,59.380001,59.720001,57.018932,27224800
2020-06-01,59.459999,61.439999,59.430000,60.290001,57.563148,11507900
2020-06-02,60.290001,60.680000,59.270000,60.650002,57.906876,15460100
2020-06-03,60.700001,60.889999,59.689999,60.209999,57.486774,13497600
2020-06-04,59.820000,61.090000,59.820000,60.889999,58.136021,13476900
2020-06-05,61.180000,61.770000,60.529999,61.330002,58.556114,11862600
2020-06-08,60.599998,61.430000,60.400002,61.430000,58.651592,12549100
2020-06-09,61.750000,62.169998,60.930000,60.930000,58.174210,12159500
2020-06-10,61.240002,61.419998,59.900002,60.160000,57.439034,13343700
2020-06-11,59.900002,60.279999,56.400002,56.709999,54.145073,17371900
2020-06-12,57.590000,57.650002,55.590000,56.169998,53.629494,14864200
2020-06-15,55.639999,55.779999,54.070000,55.099998,52.607887,21617800
2020-06-16,55.930000,57.290001,55.500000,57.060001,54.479248,16973300
2020-06-17,57.209999,57.360001,56.709999,56.950001,54.374218,13638200
2020-06-18,56.570000,56.619999,55.580002,55.970001,53.438541,14113300
2020-06-19,56.700001,56.830002,54.730000,56.410000,53.858639,54134700
2020-06-22,56.240002,57.689999,55.919998,57.560001,54.956627,18716200
2020-06-23,57.939999,59.099998,57.820000,58.380001,55.739544,15557200
2020-06-24,58.110001,58.209999,57.110001,57.759998,55.147575,11177200
2020-06-25,58.009998,58.470001,57.700001,58.180000,55.548588,15267200
2020-06-26,57.959999,58.020000,56.669998,57.540001,54.937534,26132400
2020-06-29,57.990002,58.139999,57.310001,57.799999,55.185772,9831400
2020-06-30,57.860001,59.200001,57.500000,58.799999,56.140541,12139700
2020-07-01,59.189999,59.730000,58.880001,59.430000,56.742046,11738300
2020-07-02,59.299999,59.639999,58.750000,59.139999,56.895977,11366100
2020-07-06,59.599998,60.580002,58.869999,60.189999,57.906136,8810800
2020-07-07,59.759998,60.610001,59.520000,60.290001,58.002342,12766700
2020-07-08,60.320000,60.680000,59.279999,59.560001,57.300045,10507000
2020-07-09,59.660000,60.139999,57.830002,58.110001,55.905060,12780000
2020-07-10,58.000000,58.090000,57.160000,57.430000,55.250862,8770000
2020-07-13,57.570000,58.490002,57.500000,57.750000,55.558723,10149000
2020-07-14,57.830002,58.099998,57.290001,57.889999,55.693409,12153900
2020-07-15,58.650002,59.610001,58.320000,59.270000,57.021049,9459400
2020-07-16,59.230000,59.380001,58.730000,59.320000,57.069149,6949700
2020-07-17,59.700001,60.619999,59.400002,60.389999,58.098549,9078200
2020-07-20,60.290001,60.639999,59.220001,59.459999,57.203835,6759900
2020-07-21,59.590000,60.240002,59.320000,59.799999,57.530933,7802300
